qid,question,answer,qid,question,answer,concepts,numbers,units,relations
77,what is the name of the part of chromosome where gene is present?,spike,77,what is the name of the part of chromosome where gene is present?,spike,"['present', 'chromosome', 'gene', 'spike']",[],['m'],['part of']
78,which one is the utilization of mandel's law?,removing weeds from land,78,which one is the utilization of mandel's law?,removing weeds from land,"['land', 'remove', 'mandel', 'utilization', 'weed', 'law']",['one'],['m'],[]
78,which one is the utilization of mandel's law?,production of improved variety of crops,78,which one is the utilization of mandel's law?,production of improved variety of crops,"['production', 'crop', 'mandel', 'utilization', 'improved', 'law', 'variety']",['one'],['m'],[]
78,which one is the utilization of mandel's law?,controlling insects,78,which one is the utilization of mandel's law?,controlling insects,"['mandel', 'insect', 'utilization', 'control', 'law']",['one'],['m'],[]
78,which one is the utilization of mandel's law?,in molecular farming,78,which one is the utilization of mandel's law?,in molecular farming,"['molecular', 'mandel', 'utilization', 'farming', 'law']",['one'],['m'],[]
79,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
which one is correct for the determination of sex of sumi's childs?",22 + xx,79,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
which one is correct for the determination of sex of sumi's childs?",22 + xx,"['sumi', 'girl', 'time', 'expectation', 'child', 'determination', 'law', 'husband', 'correct', 'year', 'blame', 'boy', 'marry', 'sex', 'mother']","['22', 'one', '5', 'three']",['m'],[]
79,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
which one is correct for the determination of sex of sumi's childs?",22 + xy,79,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
which one is correct for the determination of sex of sumi's childs?",22 + xy,"['sumi', 'girl', 'time', 'determination', 'correct', 'marry', 'sex', 'mother', 'expectation', 'child', 'law', 'husband', 'xy', 'year', 'blame', 'boy']","['22', 'one', '5', 'three']",['m'],[]
79,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
which one is correct for the determination of sex of sumi's childs?",44 + xx,79,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
which one is correct for the determination of sex of sumi's childs?",44 + xx,"['sumi', 'girl', 'time', 'expectation', 'child', 'determination', 'law', 'husband', 'correct', 'year', 'blame', 'boy', 'marry', 'sex', 'mother']","['one', '44', '5', 'three']",['m'],[]
79,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
which one is correct for the determination of sex of sumi's childs?",44 + xy,79,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
which one is correct for the determination of sex of sumi's childs?",44 + xy,"['sumi', 'girl', 'time', 'determination', 'correct', 'marry', 'sex', 'mother', 'expectation', 'child', 'law', 'husband', 'xy', 'year', 'blame', 'boy']","['one', '44', '5', 'three']",['m'],[]
80,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
sumi can have a boy, if-
i. 'y' bearing sperm comes from husband
ii. 'x' bearing sperm comes from husband
iii. fertilized zygote is xy
which one is correct?",i and ii,80,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
sumi can have a boy, if-
i. 'y' bearing sperm comes from husband
ii. 'x' bearing sperm comes from husband
iii. fertilized zygote is xy
which one is correct?",i and ii,"['ii', 'sumi', 'girl', 'time', '.', 'fertilized', 'correct', 'zygote', 'marry', 'y', 'mother', 'come', 'iii', 'sperm', 'bear', 'expectation', 'child', 'if-', 'law', 'husband', 'xy', 'i.', 'year', 'blame', 'boy']","['one', '5', 'three']",['m'],[]
80,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
sumi can have a boy, if-
i. 'y' bearing sperm comes from husband
ii. 'x' bearing sperm comes from husband
iii. fertilized zygote is xy
which one is correct?",i and iii,80,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
sumi can have a boy, if-
i. 'y' bearing sperm comes from husband
ii. 'x' bearing sperm comes from husband
iii. fertilized zygote is xy
which one is correct?",i and iii,"['ii', 'sumi', 'girl', 'time', '.', 'fertilized', 'correct', 'zygote', 'marry', 'y', 'mother', 'come', 'iii', 'sperm', 'bear', 'expectation', 'child', 'if-', 'law', 'husband', 'xy', 'i.', 'year', 'blame', 'boy']","['one', '5', 'three']",['m'],[]
80,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
sumi can have a boy, if-
i. 'y' bearing sperm comes from husband
ii. 'x' bearing sperm comes from husband
iii. fertilized zygote is xy
which one is correct?",ii and iii,80,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
sumi can have a boy, if-
i. 'y' bearing sperm comes from husband
ii. 'x' bearing sperm comes from husband
iii. fertilized zygote is xy
which one is correct?",ii and iii,"['ii', 'sumi', 'girl', 'time', '.', 'fertilized', 'correct', 'zygote', 'marry', 'y', 'mother', 'come', 'iii', 'sperm', 'bear', 'expectation', 'child', 'if-', 'law', 'husband', 'xy', 'i.', 'year', 'blame', 'boy']","['one', '5', 'three']",['m'],[]
80,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
sumi can have a boy, if-
i. 'y' bearing sperm comes from husband
ii. 'x' bearing sperm comes from husband
iii. fertilized zygote is xy
which one is correct?","i, ii and iii",80,"sumi got married 5 years ago. for the expectation of a boy they have three girl child. her husband and mother-in-law blame her all time for this.
sumi can have a boy, if-
i. 'y' bearing sperm comes from husband
ii. 'x' bearing sperm comes from husband
iii. fertilized zygote is xy
which one is correct?","i, ii and iii","['ii', 'sumi', 'girl', 'time', '.', 'fertilized', 'correct', 'zygote', 'marry', 'y', 'mother', 'come', 'iii', 'sperm', 'bear', 'expectation', 'child', 'if-', 'law', 'husband', 'xy', 'i.', 'year', 'blame', 'boy']","['one', '5', 'three']",['m'],[]
81,what is the function of mitochondria?,protect the cell,81,what is the function of mitochondria?,protect the cell,"['protect', 'cell', 'function', 'mitochondria']",[],['m'],[]
81,what is the function of mitochondria?,produce energy,81,what is the function of mitochondria?,produce energy,"['function', 'mitochondria', 'produce', 'energy']",[],['m'],[]
81,what is the function of mitochondria?,reproduce,81,what is the function of mitochondria?,reproduce,"['function', 'reproduce', 'mitochondria']",[],['m'],[]
81,what is the function of mitochondria?,produce food,81,what is the function of mitochondria?,produce food,"['function', 'food', 'produce', 'mitochondria']",[],['m'],[]
82,which part of plastid absorbed sunlight?,grana,82,which part of plastid absorbed sunlight?,grana,"['absorb', 'plastid', 'sunlight', 'grana']",[],[],['part of']
82,which part of plastid absorbed sunlight?,stoma,82,which part of plastid absorbed sunlight?,stoma,"['stoma', 'absorb', 'plastid', 'sunlight']",[],['m'],['part of']
82,which part of plastid absorbed sunlight?,matrix,82,which part of plastid absorbed sunlight?,matrix,"['absorb', 'plastid', 'sunlight', 'matrix']",[],['m'],['part of']
82,which part of plastid absorbed sunlight?,lemellum,82,which part of plastid absorbed sunlight?,lemellum,"['lemellum', 'absorb', 'plastid', 'sunlight']",[],['m'],['part of']
83,a plant turns into which colour with the presence of xanthophyll?,red,83,a plant turns into which colour with the presence of xanthophyll?,red,"['colour', 'turn', 'xanthophyll', 'presence', 'red', 'plant']",[],[],[]
83,a plant turns into which colour with the presence of xanthophyll?,blue,83,a plant turns into which colour with the presence of xanthophyll?,blue,"['colour', 'turn', 'xanthophyll', 'blue', 'presence', 'plant']",[],[],[]
83,a plant turns into which colour with the presence of xanthophyll?,yellow,83,a plant turns into which colour with the presence of xanthophyll?,yellow,"['colour', 'turn', 'xanthophyll', 'yellow', 'presence', 'plant']",[],[],[]
83,a plant turns into which colour with the presence of xanthophyll?,orange,83,a plant turns into which colour with the presence of xanthophyll?,orange,"['colour', 'turn', 'xanthophyll', 'orange', 'presence', 'plant']",[],[],[]
84,which one is the function of lysosome?,protein synthesis,84,which one is the function of lysosome?,protein synthesis,"['function', 'protein', 'lysosome', 'synthesis']",['one'],['m'],[]
84,which one is the function of lysosome?,store food,84,which one is the function of lysosome?,store food,"['function', 'store', 'food', 'lysosome']",['one'],['m'],[]
84,which one is the function of lysosome?,works as a flow medium,84,which one is the function of lysosome?,works as a flow medium,"['medium', 'work', 'lysosome', 'flow', 'function']",['one'],['m'],[]
84,which one is the function of lysosome?,kill germs,84,which one is the function of lysosome?,kill germs,"['function', 'germ', 'lysosome', 'kill']",['one'],['m'],[]
85,protein synthesis organelle are-,centrosome and chromosome,85,protein synthesis organelle are-,centrosome and chromosome,"['protein', 'chromosome', 'synthesis', 'organelle', 'centrosome']",[],['m'],[]
85,protein synthesis organelle are-,nucleolus and lysosome,85,protein synthesis organelle are-,nucleolus and lysosome,"['protein', 'synthesis', 'lysosome', 'organelle', 'nucleolus', 'organelle are- nucleolus']",[],['m'],[]
85,protein synthesis organelle are-,ribosome and endoplasmic reticlum,85,protein synthesis organelle are-,ribosome and endoplasmic reticlum,"['ribosome', 'protein', 'reticlum', 'endoplasmic', 'synthesis', 'organelle']",[],['m'],[]
85,protein synthesis organelle are-,lysosome and ribosome,85,protein synthesis organelle are-,lysosome and ribosome,"['ribosome', 'protein', 'synthesis', 'organelle', 'lysosome']",[],['m'],[]
86,which amount of energy is stored in the last phosphate group of each mole of atp?,7.1 kcal,86,which amount of energy is stored in the last phosphate group of each mole of atp?,7.1 kcal,"['atp', 'energy', 'mole', 'kcal', 'group', 'store', 'phosphate']",['7.1'],['m'],[]
86,which amount of energy is stored in the last phosphate group of each mole of atp?,7.3 kcal,86,which amount of energy is stored in the last phosphate group of each mole of atp?,7.3 kcal,"['atp', 'energy', 'mole', 'kcal', 'group', 'store', 'phosphate']",['7.3'],['m'],[]
86,which amount of energy is stored in the last phosphate group of each mole of atp?,7.6 kcal,86,which amount of energy is stored in the last phosphate group of each mole of atp?,7.6 kcal,"['atp', 'energy', 'mole', 'kcal', 'group', 'store', 'phosphate']",['7.6'],['m'],[]
86,which amount of energy is stored in the last phosphate group of each mole of atp?,7.9 kcal,86,which amount of energy is stored in the last phosphate group of each mole of atp?,7.9 kcal,"['atp', 'energy', 'mole', 'kcal', 'group', 'store', 'phosphate']",['7.9'],['m'],[]
87,which one is the external factors of photosynthesis?,oxygen,87,which one is the external factors of photosynthesis?,oxygen,"['oxygen', 'photosynthesis', 'external', 'factor']",['one'],[],[]
87,which one is the external factors of photosynthesis?,carbohydrates,87,which one is the external factors of photosynthesis?,carbohydrates,"['photosynthesis', 'external', 'factor', 'carbohydrate']",['one'],[],[]
87,which one is the external factors of photosynthesis?,potassium,87,which one is the external factors of photosynthesis?,potassium,"['photosynthesis', 'external', 'factor', 'potassium']",['one'],['m'],[]
87,which one is the external factors of photosynthesis?,enzymes,87,which one is the external factors of photosynthesis?,enzymes,"['photosynthesis', 'external', 'factor', 'enzyme']",['one'],['m'],[]
88,the addition of an inorgnaic phosphate with adp is called-,photolysis,88,the addition of an inorgnaic phosphate with adp is called-,photolysis,"['addition', 'called-', 'photolysis', 'adp', 'inorgnaic', 'phosphate']",[],[],[]
88,the addition of an inorgnaic phosphate with adp is called-,oxidative phos phorylation,88,the addition of an inorgnaic phosphate with adp is called-,oxidative phos phorylation,"['called-', 'phorylation', 'adp', 'oxidative', 'inorgnaic', 'phosphate', 'addition', 'phos']",[],[],[]
88,the addition of an inorgnaic phosphate with adp is called-,photophosphorylation,88,the addition of an inorgnaic phosphate with adp is called-,photophosphorylation,"['addition', 'photophosphorylation', 'called-', 'adp', 'inorgnaic', 'phosphate']",[],[],[]
88,the addition of an inorgnaic phosphate with adp is called-,fermentation,88,the addition of an inorgnaic phosphate with adp is called-,fermentation,"['addition', 'called-', 'fermentation', 'adp', 'inorgnaic', 'phosphate']",[],['m'],[]
89,which one is insects pollinated flower?,rice,89,which one is insects pollinated flower?,rice,"['pollinate', 'flower', 'insect', 'rice']",['one'],[],[]
89,which one is insects pollinated flower?,taro,89,which one is insects pollinated flower?,taro,"['pollinate', 'flower', 'insect', 'taro']",['one'],[],[]
89,which one is insects pollinated flower?,mustard,89,which one is insects pollinated flower?,mustard,"['pollinate', 'flower', 'insect', 'mustard']",['one'],['m'],[]
89,which one is insects pollinated flower?,sugarcane,89,which one is insects pollinated flower?,sugarcane,"['pollinate', 'flower', 'insect', 'sugarcane']",['one'],[],[]
90,which is the necessary nutrient for the growth of root and stem of lsugar beet?,boron,90,which is the necessary nutrient for the growth of root and stem of lsugar beet?,boron,"['beet', 'growth', 'nutrient', 'root', 'necessary', 'stem', 'boron', 'lsugar']",[],['m'],[]
90,which is the necessary nutrient for the growth of root and stem of lsugar beet?,iron,90,which is the necessary nutrient for the growth of root and stem of lsugar beet?,iron,"['beet', 'growth', 'nutrient', 'root', 'necessary', 'stem', 'iron', 'lsugar']",[],['m'],[]
90,which is the necessary nutrient for the growth of root and stem of lsugar beet?,chlorine,90,which is the necessary nutrient for the growth of root and stem of lsugar beet?,chlorine,"['beet', 'growth', 'nutrient', 'root', 'necessary', 'stem', 'lsugar', 'chlorine']",[],['m'],[]
90,which is the necessary nutrient for the growth of root and stem of lsugar beet?,potassium,90,which is the necessary nutrient for the growth of root and stem of lsugar beet?,potassium,"['beet', 'growth', 'nutrient', 'root', 'potassium', 'necessary', 'stem', 'lsugar']",[],['m'],[]
91,"blood group of sharif is ab^{+}, mithuns's ab^{-} and rayhan's o^{-}, mithun-
i. can donate blood to sharif
ii. can recived blood from sharif
iii. can receive blood from rayhan
which one is correct?",i and ii,91,"blood group of sharif is ab^{+}, mithuns's ab^{-} and rayhan's o^{-}, mithun-
i. can donate blood to sharif
ii. can recived blood from sharif
iii. can receive blood from rayhan
which one is correct?",i and ii,"['ii', 'mithun-', 'mithun', 'ab^{-', 'sharif', 'blood', '.', 'correct', 'recive', 'receive', 'group', 'iii', 'ab^{+', 'donate', 'i.', 'o^{-', 'rayhan']",['one'],['m'],[]
91,"blood group of sharif is ab^{+}, mithuns's ab^{-} and rayhan's o^{-}, mithun-
i. can donate blood to sharif
ii. can recived blood from sharif
iii. can receive blood from rayhan
which one is correct?",i and iii,91,"blood group of sharif is ab^{+}, mithuns's ab^{-} and rayhan's o^{-}, mithun-
i. can donate blood to sharif
ii. can recived blood from sharif
iii. can receive blood from rayhan
which one is correct?",i and iii,"['ii', 'mithun-', 'mithun', 'ab^{-', 'sharif', 'blood', '.', 'correct', 'recive', 'receive', 'group', 'iii', 'ab^{+', 'donate', 'i.', 'o^{-', 'rayhan']",['one'],['m'],[]
91,"blood group of sharif is ab^{+}, mithuns's ab^{-} and rayhan's o^{-}, mithun-
i. can donate blood to sharif
ii. can recived blood from sharif
iii. can receive blood from rayhan
which one is correct?",ii and iii,91,"blood group of sharif is ab^{+}, mithuns's ab^{-} and rayhan's o^{-}, mithun-
i. can donate blood to sharif
ii. can recived blood from sharif
iii. can receive blood from rayhan
which one is correct?",ii and iii,"['ii', 'mithun-', 'mithun', 'ab^{-', 'sharif', 'blood', '.', 'correct', 'recive', 'receive', 'group', 'iii', 'ab^{+', 'donate', 'i.', 'o^{-', 'rayhan']",['one'],['m'],[]
91,"blood group of sharif is ab^{+}, mithuns's ab^{-} and rayhan's o^{-}, mithun-
i. can donate blood to sharif
ii. can recived blood from sharif
iii. can receive blood from rayhan
which one is correct?","i, ii and iii",91,"blood group of sharif is ab^{+}, mithuns's ab^{-} and rayhan's o^{-}, mithun-
i. can donate blood to sharif
ii. can recived blood from sharif
iii. can receive blood from rayhan
which one is correct?","i, ii and iii","['ii', 'mithun-', 'mithun', 'ab^{-', 'sharif', 'blood', '.', 'correct', 'recive', 'receive', 'group', 'iii', 'ab^{+', 'donate', 'i.', 'o^{-', 'rayhan']",['one'],['m'],[]
92,what is the amount of urination of a normal adult man?,1000 ml,92,what is the amount of urination of a normal adult man?,1000 ml,"['normal', 'adult', 'man', 'ml', 'urination']","['1000', '1000 ml']",['m'],[]
92,what is the amount of urination of a normal adult man?,1200 ml,92,what is the amount of urination of a normal adult man?,1200 ml,"['normal', 'adult', 'man', 'ml', 'urination']","['1200 ml', '1200']",['m'],[]
92,what is the amount of urination of a normal adult man?,1500 ml,92,what is the amount of urination of a normal adult man?,1500 ml,"['normal', 'adult', 'man', 'ml', 'urination']","['1500', '1500 ml']",['m'],[]
92,what is the amount of urination of a normal adult man?,1800 ml,92,what is the amount of urination of a normal adult man?,1800 ml,"['normal', 'adult', 'man', 'ml', 'urination']","['1800', '1800 ml']",['m'],[]
93,"in case of kidney failure-
i. decrease of urination occurs
ii. have to take less protein
iii. decreases the level of creatinine in blood
which one is correct?",i and ii,93,"in case of kidney failure-
i. decrease of urination occurs
ii. have to take less protein
iii. decreases the level of creatinine in blood
which one is correct?",i and ii,"['ii', 'iii', 'case', '.', 'urination', 'blood', 'i.', 'failure-', 'correct', 'decrease', 'protein', 'occur', 'level', 'creatinine', 'kidney']",['one'],[],[]
93,"in case of kidney failure-
i. decrease of urination occurs
ii. have to take less protein
iii. decreases the level of creatinine in blood
which one is correct?",ii and iii,93,"in case of kidney failure-
i. decrease of urination occurs
ii. have to take less protein
iii. decreases the level of creatinine in blood
which one is correct?",ii and iii,"['ii', 'iii', 'case', '.', 'urination', 'blood', 'i.', 'failure-', 'correct', 'decrease', 'protein', 'occur', 'level', 'creatinine', 'kidney']",['one'],[],[]
93,"in case of kidney failure-
i. decrease of urination occurs
ii. have to take less protein
iii. decreases the level of creatinine in blood
which one is correct?",i and iii,93,"in case of kidney failure-
i. decrease of urination occurs
ii. have to take less protein
iii. decreases the level of creatinine in blood
which one is correct?",i and iii,"['ii', 'iii', 'case', '.', 'urination', 'blood', 'i.', 'failure-', 'correct', 'decrease', 'protein', 'occur', 'level', 'creatinine', 'kidney']",['one'],[],[]
93,"in case of kidney failure-
i. decrease of urination occurs
ii. have to take less protein
iii. decreases the level of creatinine in blood
which one is correct?","i, ii and iii",93,"in case of kidney failure-
i. decrease of urination occurs
ii. have to take less protein
iii. decreases the level of creatinine in blood
which one is correct?","i, ii and iii","['ii', 'iii', 'case', '.', 'urination', 'blood', 'i.', 'failure-', 'correct', 'decrease', 'protein', 'occur', 'level', 'creatinine', 'kidney']",['one'],[],[]
94,which part helps to pass oxygenated blood?,tricuspid valve,94,which part helps to pass oxygenated blood?,tricuspid valve,"['pass', 'oxygenate', 'blood', 'help', 'tricuspid', 'valve']",[],[],[]
94,which part helps to pass oxygenated blood?,pulmonary valve,94,which part helps to pass oxygenated blood?,pulmonary valve,"['pulmonary', 'pass', 'blood', 'help', 'oxygenate', 'valve']",[],['m'],[]
94,which part helps to pass oxygenated blood?,pulmonary artery,94,which part helps to pass oxygenated blood?,pulmonary artery,"['artery', 'pulmonary', 'blood', 'help', 'oxygenate', 'pass']",[],['m'],[]
94,which part helps to pass oxygenated blood?,bicuspid valve,94,which part helps to pass oxygenated blood?,bicuspid valve,"['pass', 'bicuspid', 'blood', 'help', 'oxygenate', 'valve']",[],[],[]
95,what is the duration of forming faetus from human embryo?,3 weeks,95,what is the duration of forming faetus from human embryo?,3 weeks,"['embryo', 'duration', 'form', 'week', 'faetus', 'human']",['3'],['m'],[]
95,what is the duration of forming faetus from human embryo?,4 weeks,95,what is the duration of forming faetus from human embryo?,4 weeks,"['embryo', 'duration', 'form', 'week', 'faetus', 'human']",['4'],['m'],[]
95,what is the duration of forming faetus from human embryo?,5 weeks,95,what is the duration of forming faetus from human embryo?,5 weeks,"['embryo', 'duration', 'form', 'week', 'faetus', 'human']",['5'],['m'],[]
95,what is the duration of forming faetus from human embryo?,8 weeks,95,what is the duration of forming faetus from human embryo?,8 weeks,"['embryo', 'duration', 'form', 'week', 'faetus', 'human']",['8'],['m'],[]
96,which is applicable for major thalassemia?,obtains genes from both the parents,96,which is applicable for major thalassemia?,obtains genes from both the parents,"['major', 'thalassemia', 'applicable', 'obtain', 'parent', 'gene']",[],['m'],[]
96,which is applicable for major thalassemia?,obtain genes either form the father of mother,96,which is applicable for major thalassemia?,obtain genes either form the father of mother,"['major', 'father', 'thalassemia', 'applicable', 'obtain', 'form', 'gene', 'mother']",[],['m'],[]
96,which is applicable for major thalassemia?,does not express any symptom,96,which is applicable for major thalassemia?,does not express any symptom,"['major', 'symptom', 'thalassemia', 'applicable', 'express']",[],['m'],[]
96,which is applicable for major thalassemia?,only functions as a carrier,96,which is applicable for major thalassemia?,only functions as a carrier,"['major', 'thalassemia', 'carrier', 'applicable', 'function']",[],['m'],[]
97,"similarity between kingdom fungi and plantae is-
i. reproduce by spore
ii. well structured nucleus
iii. cell wall present in cell
which one is correct?",i and ii,97,"similarity between kingdom fungi and plantae is-
i. reproduce by spore
ii. well structured nucleus
iii. cell wall present in cell
which one is correct?",i and ii,"['ii', 'cell', '.', 'reproduce', 'correct', 'fungus', 'wall', 'spore', 'iii', 'nucleus', 'similarity', 'kingdom', 'i.', 'plantae', 'present', 'kingdom fungi', 'structured']",['one'],['m'],[]
97,"similarity between kingdom fungi and plantae is-
i. reproduce by spore
ii. well structured nucleus
iii. cell wall present in cell
which one is correct?",i and iii,97,"similarity between kingdom fungi and plantae is-
i. reproduce by spore
ii. well structured nucleus
iii. cell wall present in cell
which one is correct?",i and iii,"['ii', 'cell', '.', 'reproduce', 'correct', 'fungus', 'wall', 'spore', 'iii', 'nucleus', 'similarity', 'kingdom', 'i.', 'plantae', 'present', 'kingdom fungi', 'structured']",['one'],['m'],[]
97,"similarity between kingdom fungi and plantae is-
i. reproduce by spore
ii. well structured nucleus
iii. cell wall present in cell
which one is correct?",ii and iii,97,"similarity between kingdom fungi and plantae is-
i. reproduce by spore
ii. well structured nucleus
iii. cell wall present in cell
which one is correct?",ii and iii,"['ii', 'cell', '.', 'reproduce', 'correct', 'fungus', 'wall', 'spore', 'iii', 'nucleus', 'similarity', 'kingdom', 'i.', 'plantae', 'present', 'kingdom fungi', 'structured']",['one'],['m'],[]
97,"similarity between kingdom fungi and plantae is-
i. reproduce by spore
ii. well structured nucleus
iii. cell wall present in cell
which one is correct?","i, ii and iii",97,"similarity between kingdom fungi and plantae is-
i. reproduce by spore
ii. well structured nucleus
iii. cell wall present in cell
which one is correct?","i, ii and iii","['ii', 'cell', '.', 'reproduce', 'correct', 'fungus', 'wall', 'spore', 'iii', 'nucleus', 'similarity', 'kingdom', 'i.', 'plantae', 'present', 'kingdom fungi', 'structured']",['one'],['m'],[]
98,which component is responsible for contracting and expanding of muscular tissue?,nucleus,98,which component is responsible for contracting and expanding of muscular tissue?,nucleus,"['nucleus', 'responsible', 'tissue', 'contracting', 'muscular', 'component', 'expand']",[],['m'],[]
98,which component is responsible for contracting and expanding of muscular tissue?,intercalated disk,98,which component is responsible for contracting and expanding of muscular tissue?,intercalated disk,"['responsible', 'disk', 'intercalate', 'contracting', 'component', 'muscular', 'expand', 'tissue']",[],['m'],[]
98,which component is responsible for contracting and expanding of muscular tissue?,sarcolemma,98,which component is responsible for contracting and expanding of muscular tissue?,sarcolemma,"['tissue', 'responsible', 'expand', 'contracting', 'muscular', 'component', 'sarcolemma']",[],"['mm', 'm']",[]
98,which component is responsible for contracting and expanding of muscular tissue?,myofibril,98,which component is responsible for contracting and expanding of muscular tissue?,myofibril,"['tissue', 'responsible', 'myofibril', 'contracting', 'muscular', 'component', 'expand']",[],['m'],[]
99,which organ contains actine and myocin?,centrosome,99,which organ contains actine and myocin?,centrosome,"['contain', 'organ', 'myocin', 'actine']",[],['m'],[]
99,which organ contains actine and myocin?,ribosome,99,which organ contains actine and myocin?,ribosome,"['ribosome', 'organ', 'myocin', 'actine', 'contain']",[],['m'],[]
99,which organ contains actine and myocin?,cytoskeleton,99,which organ contains actine and myocin?,cytoskeleton,"['myocin', 'organ', 'actine', 'contain', 'cytoskeleton']",[],['m'],[]
99,which organ contains actine and myocin?,chloroplast,99,which organ contains actine and myocin?,chloroplast,"['myocin', 'organ', 'actine', 'contain', 'chloroplast']",[],['m'],[]
100,how many cells are there in egg apparatus of embryo-sac?,4,100,how many cells are there in egg apparatus of embryo-sac?,4,"['embryo', 'cell', 'apparatus', '?', 'egg', 'sac']",['4'],['m'],[]
100,how many cells are there in egg apparatus of embryo-sac?,3,100,how many cells are there in egg apparatus of embryo-sac?,3,"['embryo', 'cell', 'apparatus', '?', 'egg', 'sac']",['3'],['m'],[]
100,how many cells are there in egg apparatus of embryo-sac?,2,100,how many cells are there in egg apparatus of embryo-sac?,2,"['embryo', 'cell', 'apparatus', '?', 'egg', 'sac']",['2'],['m'],[]
100,how many cells are there in egg apparatus of embryo-sac?,1,100,how many cells are there in egg apparatus of embryo-sac?,1,"['embryo', 'cell', 'apparatus', '?', 'egg', 'sac']",['1'],['m'],[]
101,"which branch deals with respiration, excretion etc. of living organsms?",physiology,101,"which branch deals with respiration, excretion etc. of living organsms?",physiology,"['physiology', 'excretion', 'organsm', 'respiration', 'live', 'deal', 'branch']",[],['m'],[]
101,"which branch deals with respiration, excretion etc. of living organsms?",medical science,101,"which branch deals with respiration, excretion etc. of living organsms?",medical science,"['science', 'medical', 'live', 'deal', 'excretion', 'organsm', 'respiration', 'branch']",[],['m'],[]
101,"which branch deals with respiration, excretion etc. of living organsms?",pharmacy,101,"which branch deals with respiration, excretion etc. of living organsms?",pharmacy,"['excretion', 'organsm', 'pharmacy', 'live', 'respiration', 'deal', 'branch']",[],['m'],[]
101,"which branch deals with respiration, excretion etc. of living organsms?",biochemistry,101,"which branch deals with respiration, excretion etc. of living organsms?",biochemistry,"['biochemistry', 'excretion', 'organsm', 'respiration', 'live', 'deal', 'branch']",[],['m'],[]
102,which system urethra belongs to?,respiratory system,102,which system urethra belongs to?,respiratory system,"['system', 'urethra', 'belong', 'respiratory']",[],['m'],[]
102,which system urethra belongs to?,endocrine system,102,which system urethra belongs to?,endocrine system,"['system', 'urethra', 'belong', 'endocrine']",[],['m'],[]
102,which system urethra belongs to?,digestive system,102,which system urethra belongs to?,digestive system,"['system', 'urethra', 'belong', 'digestive']",[],['m'],[]
102,which system urethra belongs to?,excretory system,102,which system urethra belongs to?,excretory system,"['system', 'urethra', 'excretory', 'belong']",[],['m'],[]
103,which product is produced in anaerobic respiration?,amino-acid,103,which product is produced in anaerobic respiration?,amino-acid,"['produce', 'amino', 'respiration', 'acid', 'product', 'anaerobic']",[],['m'],[]
103,which product is produced in anaerobic respiration?,ethyl alcohol,103,which product is produced in anaerobic respiration?,ethyl alcohol,"['ethyl', 'respiration', 'alcohol', 'anaerobic', 'product', 'produce']",[],[],[]
103,which product is produced in anaerobic respiration?,water,103,which product is produced in anaerobic respiration?,water,"['water', 'respiration', 'anaerobic', 'product', 'produce']",[],[],[]
103,which product is produced in anaerobic respiration?,oxygen,103,which product is produced in anaerobic respiration?,oxygen,"['oxygen', 'respiration', 'anaerobic', 'product', 'produce']",[],[],[]
104,"a' tissue has more matrix, number of cells is less and the cells are scattered within the matrix. functions of 'a' tissue-
i. are to participate making pumping organ for the blood circulation in human body
ii. give the body definite shape and firmness
iii. are to maintain circulation of different items in the body
which one is correct?",i and ii,104,"a' tissue has more matrix, number of cells is less and the cells are scattered within the matrix. functions of 'a' tissue-
i. are to participate making pumping organ for the blood circulation in human body
ii. give the body definite shape and firmness
iii. are to maintain circulation of different items in the body
which one is correct?",i and ii,"['ii', 'cell', 'circulation', 'number', '.', 'participate', 'pumping', 'blood', 'correct', 'organ', 'item', 'different', 'body', 'matrix', 'human', 'iii', 'maintain', 'definite', 'tissue-', 'shape', 'i.', 'make', 'firmness', 'tissue', 'scatter', 'function']",['one'],['m'],[]
